molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
"44455436",1,0,0,0,0,9,0,-2,591.658,8.578,781.762,176.336,262.564,342.862,0.000,1591.741,0.000,16.500,0.0462224,0.0000000,0.8433451,55.043,17.045,28.912,19.985,0.228,-1.927,-6.473,-5.702,32.063,-2.440,12.009,-4.287,9.616,1.376,6,-1.557,2,29.320,0.000,0.000,162.859,12,2,27,0,27,2,41,0,0.362
"44455436",1,0,0,0,0,9,0,-2,591.658,3.219,784.563,204.816,246.193,333.554,0.000,1582.705,0.000,16.500,0.0065479,0.0000000,0.8371506,54.592,16.811,28.080,19.818,0.272,-1.980,-6.473,-5.758,45.841,-2.321,17.674,-4.018,9.362,1.404,6,-1.583,2,32.354,0.000,0.000,153.679,12,2,27,0,27,2,41,0,0.595
"44455435",0,0,0,0,0,8,0,-2,581.648,6.062,830.758,404.197,223.803,202.759,0.000,1644.277,0.000,16.000,0.0223483,0.0000000,0.8109742,56.450,16.379,28.291,18.615,0.919,-3.280,-6.109,-5.558,74.744,-2.187,29.979,-4.162,9.334,1.382,4,-1.228,2,39.942,0.000,0.000,160.855,14,2,26,0,26,7,41,0,0.021
"44455435",0,0,0,0,0,8,0,-2,581.648,8.716,882.925,435.384,238.984,208.557,0.000,1695.497,0.000,16.000,0.0448071,0.0000000,0.7788242,58.555,17.207,29.272,18.883,1.155,-4.269,-6.109,-6.105,53.656,-2.545,20.951,-4.421,9.276,1.161,4,-1.080,2,38.747,0.000,0.000,161.885,14,2,26,0,26,7,41,0,0.001
"44455435",0,0,0,0,0,8,0,-2,581.648,10.656,880.733,439.244,237.592,203.897,0.000,1690.407,0.000,16.000,0.0671677,0.0000000,0.7791990,58.306,17.116,29.477,18.837,1.126,-4.227,-6.109,-6.077,55.312,-2.528,21.651,-4.412,9.317,1.166,4,-1.094,2,38.813,0.000,0.000,162.547,14,2,26,0,26,7,41,0,0.001
"44455435",0,0,0,0,0,8,0,-2,581.648,8.705,882.919,438.639,238.629,205.651,0.000,1691.419,0.000,16.000,0.0448047,0.0000000,0.7775798,58.364,17.159,29.190,18.861,1.127,-4.269,-6.109,-6.112,54.074,-2.550,21.128,-4.425,9.287,1.157,4,-1.091,2,38.646,0.000,0.000,161.896,14,2,26,0,26,7,41,0,0.001
"17759162",1,0,0,0,0,8,0,-2,566.677,15.271,876.919,410.764,225.725,240.430,0.000,1691.767,0.000,13.000,0.1378550,0.0000000,0.7830074,58.710,17.269,28.990,16.040,2.720,-5.726,-7.118,-6.190,71.671,-2.373,28.649,-4.065,8.404,0.552,3,-0.288,2,50.165,0.000,0.000,136.426,12,2,26,0,26,8,40,1,0.000
"17759162",1,0,0,0,0,8,0,-2,566.677,14.722,863.908,386.825,241.293,235.706,0.084,1668.283,0.000,13.000,0.1299118,0.0000000,0.7874278,57.725,17.105,28.621,16.083,2.454,-5.479,-7.118,-6.096,51.018,-2.513,19.861,-4.368,8.477,0.670,3,-0.356,2,45.964,0.000,0.000,137.065,12,2,26,0,26,8,40,0,0.000
"17759162",0,0,0,0,0,8,0,-2,566.677,9.991,879.675,413.506,212.840,253.330,0.000,1690.201,0.000,13.000,0.0590576,0.0000000,0.7800722,58.770,17.280,27.871,16.047,2.815,-5.778,-7.118,-6.299,94.960,-2.251,38.832,-3.782,8.431,0.679,3,-0.293,2,52.903,0.000,0.000,136.154,12,2,26,0,26,8,40,1,0.000
"17759162",0,0,0,0,0,8,0,-2,566.677,7.927,898.456,403.554,237.066,257.733,0.103,1702.165,0.000,13.000,0.0369206,0.0000000,0.7673657,59.291,17.705,27.811,16.287,2.730,-6.134,-7.118,-6.525,55.951,-2.602,21.950,-4.213,8.699,0.588,3,-0.258,2,48.298,0.000,0.000,136.168,12,2,26,0,26,8,40,1,0.000
"17758329",0,0,0,0,0,9,0,-2,579.691,11.482,832.260,270.502,254.092,307.666,0.000,1624.455,0.000,14.500,0.0811643,0.0000000,0.8029921,56.016,17.210,28.373,17.840,1.433,-3.931,-7.022,-6.187,38.579,-2.606,14.668,-4.255,8.422,1.002,4,-0.927,2,37.813,0.000,0.000,134.847,11,2,26,0,26,3,40,0,0.004
"17758329",1,0,0,0,0,9,0,-2,579.691,13.770,812.659,256.149,259.388,297.123,0.000,1604.600,0.000,14.500,0.1181745,0.0000000,0.8156448,55.121,16.929,28.630,17.757,1.255,-3.560,-7.022,-5.932,34.366,-2.578,12.944,-4.389,8.494,1.165,4,-0.985,2,35.869,0.000,0.000,135.648,11,2,26,0,26,3,40,0,0.007
"17758329",1,0,0,0,0,9,0,-2,579.691,12.532,830.458,273.092,255.614,301.751,0.000,1620.290,0.000,14.500,0.0969214,0.0000000,0.8033583,55.793,17.141,28.508,17.806,1.389,-3.897,-7.022,-6.153,37.317,-2.619,14.150,-4.303,8.406,0.996,4,-0.939,2,37.293,0.000,0.000,134.584,11,2,26,0,26,3,40,0,0.004
"17758329",0,0,0,0,0,9,0,-2,579.691,11.965,825.039,272.216,258.125,294.698,0.000,1621.275,0.000,14.500,0.0883011,0.0000000,0.8089628,55.765,17.083,28.410,17.762,1.369,-3.794,-7.022,-6.029,35.327,-2.609,13.336,-4.375,8.448,1.049,4,-0.936,2,36.755,0.000,0.000,134.754,11,2,26,0,26,3,40,0,0.004
